        NN     FT     ST      E       DCG
No.221: 0.000	 0.000	 0.000	 0.000	 0.317
No.222: 0.000	 0.000	 0.000	 0.000	 0.325
No.223: 0.000	 0.000	 0.000	 0.000	 0.326
No.224: 0.000	 0.000	 0.000	 0.000	 0.298
No.225: 0.000	 0.000	 0.000	 0.000	 0.322
No.226: 0.000	 0.000	 0.000	 0.000	 0.341
No.227: 0.000	 0.000	 0.035	 0.000	 0.376
No.228: 0.000	 0.018	 0.070	 0.000	 0.400
No.229: 0.000	 0.018	 0.018	 0.000	 0.364
No.230: 0.000	 0.088	 0.211	 0.022	 0.469
No.231: 0.000	 0.000	 0.000	 0.000	 0.299
No.232: 0.000	 0.000	 0.000	 0.000	 0.319
No.233: 0.000	 0.053	 0.123	 0.000	 0.406
No.234: 0.000	 0.000	 0.000	 0.000	 0.321
No.235: 0.000	 0.000	 0.000	 0.000	 0.332
No.236: 0.000	 0.000	 0.000	 0.000	 0.312
No.237: 0.000	 0.000	 0.000	 0.000	 0.304
No.238: 0.000	 0.105	 0.140	 0.067	 0.470
No.239: 0.000	 0.000	 0.000	 0.000	 0.328
No.240: 0.000	 0.053	 0.105	 0.000	 0.418
No.241: 0.000	 0.000	 0.000	 0.000	 0.235
No.242: 0.000	 0.000	 0.077	 0.044	 0.277
No.243: 0.000	 0.000	 0.077	 0.044	 0.257
No.244: 0.000	 0.000	 0.000	 0.000	 0.258
No.245: 0.000	 0.000	 0.000	 0.044	 0.272
No.246: 0.000	 0.000	 0.000	 0.044	 0.266
No.247: 0.000	 0.000	 0.154	 0.089	 0.280
No.248: 0.000	 0.000	 0.000	 0.000	 0.259
No.249: 0.000	 0.000	 0.000	 0.000	 0.258
No.250: 0.000	 0.000	 0.000	 0.000	 0.253
No.251: 0.000	 0.000	 0.000	 0.044	 0.261
No.252: 0.000	 0.000	 0.000	 0.000	 0.256
No.253: 0.000	 0.000	 0.000	 0.000	 0.255
No.254: 0.000	 0.000	 0.000	 0.089	 0.265
No.255: 0.000	 0.000	 0.000	 0.000	 0.258
No.256: 0.000	 0.000	 0.000	 0.044	 0.271
No.257: 0.000	 0.000	 0.000	 0.000	 0.271
No.258: 0.000	 0.000	 0.077	 0.044	 0.264
No.259: 0.000	 0.000	 0.000	 0.044	 0.270
No.260: 0.000	 0.000	 0.077	 0.044	 0.280
No.261: 0.000	 0.000	 0.077	 0.044	 0.267
No.262: 0.000	 0.077	 0.077	 0.089	 0.289
No.263: 0.000	 0.000	 0.077	 0.044	 0.272
No.264: 0.000	 0.000	 0.000	 0.000	 0.219
No.265: 0.000	 0.000	 0.077	 0.044	 0.271
No.266: 0.000	 0.077	 0.154	 0.133	 0.295
No.267: 0.000	 0.000	 0.000	 0.000	 0.196
No.268: 0.000	 0.000	 0.231	 0.133	 0.292
No.269: 0.000	 0.000	 0.000	 0.000	 0.259
No.270: 0.000	 0.000	 0.077	 0.044	 0.273
